scientificname,sources,n_rows,is_genus_placeholder,is_non_binomial,taxonomy_source,filter_level_used,status,accepted_name,aphia_id,gbif_key,rank_resolved,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,habitat,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus,hierarchy_match,taxonomy_provenance,manual_correction_applied,manual_corrected_query_name,manual_correction_note
Daphnia galeata ssp. mendotae,wqbench,20,FALSE,TRUE,wqbench,none,gbif_resolved,Daphnia galeata mendotae,NA,6284600,SUBSPECIES,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,NA,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,TRUE,gbif_full,FALSE,NA,NA
Diaphanosoma brachyurum,"envirotox,wqbench",20,FALSE,FALSE,wqbench,class,exact_filtered,Diaphanosoma brachyurum,234063,NA,Species,Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma,marine|brackish|freshwater,Animalia,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,TRUE,worms_full,FALSE,NA,NA
Dicrotendipes californicus,"envirotox,wqbench",20,FALSE,FALSE,wqbench,none,gbif_resolved,Dicrotendipes californicus,NA,1446381,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,NA,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,TRUE,gbif_full,FALSE,NA,NA
Epeorus sp.,wqbench,20,TRUE,FALSE,wqbench,none,gbif_resolved,Epeorus,NA,1408551,GENUS,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,TRUE,gbif_full,FALSE,NA,NA
Esox masquinongy,"envirotox,wqbench",20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Esox masquinongy,1021830,NA,Species,Animalia,Chordata,Teleostei,Esociformes,Esocidae,Esox,freshwater,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,TRUE,worms_full,FALSE,NA,NA
Girardinichthys viviparus,wqbench,20,FALSE,FALSE,wqbench,phylum,exact_filtered,Girardinichthys viviparus,1022563,NA,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Goodeidae,Girardinichthys,freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Goodeidae,Girardinichthys,TRUE,worms_full,FALSE,NA,NA
Hemicentrotus pulcherrimus,wqbench,20,FALSE,FALSE,wqbench,class,exact_filtered,Hemicentrotus pulcherrimus,513318,NA,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Hemicentrotus,marine,Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Hemicentrotus,TRUE,worms_full,FALSE,NA,NA
Keratella tropica,wqbench,20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Keratella tropica,248010,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,brackish|freshwater,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Keratella,TRUE,worms_full,FALSE,NA,NA
Liza macrolepis,"envirotox,wqbench",20,FALSE,FALSE,wqbench,phylum,exact_unaccepted_filtered,Planiliza macrolepis,218887,NA,Species,Animalia,Chordata,Teleostei,Mugiliformes,Mugilidae,Liza,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Liza,TRUE,worms_full,FALSE,NA,NA
Macrophthalmus erato,wqbench,20,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Macrophthalmus (Paramareotis) erato,1376058,NA,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Macrophthalmidae,Macrophthalmus,marine,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Macrophthalmus,TRUE,worms_full,FALSE,NA,NA
