scientificname,sources,n_rows,is_genus_placeholder,is_non_binomial,taxonomy_source,filter_level_used,status,accepted_name,aphia_id,gbif_key,rank_resolved,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,habitat,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus,hierarchy_match,taxonomy_provenance,manual_correction_applied,manual_corrected_query_name,manual_correction_note
Ankistrodesmus sp,envirotox,11,TRUE,FALSE,envirotox,genus_only,genus_resolved,Ankistrodesmus sp,163489,NA,Genus,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Ankistrodesmus,freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,NA,TRUE,worms_full,FALSE,NA,NA
Anopheles culicifacies,"envirotox,wqbench",11,FALSE,FALSE,wqbench,none,gbif_resolved,Anopheles culicifacies,NA,1650474,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,NA,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,TRUE,gbif_full,FALSE,NA,NA
Arthrospira fusiformis,"anztox,wqbench",11,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Limnospira fusiformis,612090,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae,Arthrospira,freshwater,Monera,Cyanophycota,Cyanophyceae,Nostocales,Oscillatoriaceae,Arthrospira,FALSE,worms_full,FALSE,NA,NA
Balanus crenatus,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Balanus crenatus,106215,NA,Species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,marine,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,TRUE,worms_full,FALSE,NA,NA
Blepharisma undulans,wqbench,11,FALSE,FALSE,wqbench,phylum,exact_filtered,Blepharisma undulans,427918,NA,Species,Chromista,Ciliophora,Heterotrichea,Heterotrichida,Blepharismidae,Blepharisma,marine,Animalia,Ciliophora,Ciliatea,Heterotrichida,Spirostomidae,Blepharisma,TRUE,worms_full,FALSE,NA,NA
Boeckella delicata,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Boeckella delicata,349221,NA,Species,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Boeckella,freshwater,Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Boeckella,TRUE,worms_full,FALSE,NA,NA
Bombina bombina,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Bombina bombina,1506624,NA,Species,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,freshwater|terrestrial,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,TRUE,worms_full,FALSE,NA,NA
Brachionus havanaensis,"envirotox,wqbench",11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Brachionus havanaensis,986858,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,freshwater,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,TRUE,worms_full,FALSE,NA,NA
Brachionus patulus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Plationus patulus,955745,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,freshwater,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,TRUE,worms_full,FALSE,NA,NA
Carassius sp,"anztox,envirotox",11,TRUE,FALSE,envirotox,genus_only,genus_resolved,Carassius sp,154296,NA,Genus,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Carassius,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,TRUE,worms_full,FALSE,NA,NA
Caulerpa lentillifera,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Caulerpa lentillifera,211475,NA,Species,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa,marine,Plantae,Chlorophyta,Chlorophyceae,Caulerpales,Caulerpaceae,Caulerpa,TRUE,worms_full,FALSE,NA,NA
Chaetopteryx villosa,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Chaetopteryx villosa,1516490,NA,Species,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Chaetopteryx,freshwater|terrestrial,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Chaetopteryx,TRUE,worms_full,FALSE,NA,NA
Chanodichthys erythropterus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Chanodichthys erythropterus,1016987,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Chanodichthys,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chanodichthys,TRUE,worms_full,FALSE,NA,NA
Chironomus piger,wqbench,11,FALSE,FALSE,wqbench,none,gbif_resolved,Chironomus piger,NA,1448271,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,TRUE,gbif_full,FALSE,NA,NA
Colpoda cucullus,wqbench,11,FALSE,FALSE,wqbench,phylum,exact_filtered,Colpoda cucullus,426726,NA,Species,Chromista,Ciliophora,Colpodea,Colpodida,Colpodidae,Colpoda,marine,Animalia,Ciliophora,Ciliatea,Entodiniomorphida,Colpodidae,Colpoda,TRUE,worms_full,FALSE,NA,NA
Coscinasterias muricata,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Coscinasterias muricata,291596,NA,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,marine,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,TRUE,worms_full,FALSE,NA,NA
Cryptomonas erosa,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Cryptomonas erosa,155555,NA,Species,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,brackish|freshwater,Plantae,Cryptophycophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,FALSE,worms_full,FALSE,NA,NA
Cybister sp.,wqbench,11,TRUE,FALSE,wqbench,genus_only,genus_resolved,Cybister sp.,1489674,NA,Genus,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Cybister,freshwater|terrestrial,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Cybister,TRUE,worms_full,FALSE,NA,NA
Cypria sp.,wqbench,11,TRUE,FALSE,wqbench,genus_only,genus_resolved,Cypria sp.,156849,NA,Genus,Animalia,Arthropoda,Ostracoda,Podocopida,Cyclocyprididae,Cypria,freshwater,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypria,TRUE,worms_full,FALSE,NA,NA
Dunaliella sp,"anztox,envirotox",11,TRUE,FALSE,envirotox,genus_only,genus_resolved,Dunaliella sp,178589,NA,Genus,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,marine|freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Dunaliellaceae,NA,TRUE,worms_full,FALSE,NA,NA
Dunaliella viridis,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Dunaliella viridis,621517,NA,Species,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,marine|freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Dunaliellaceae,Dunaliella,TRUE,worms_full,FALSE,NA,NA
Eudorina elegans,wqbench,11,FALSE,FALSE,wqbench,none,ambiguous_after_filter,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,Eudorina,NA,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,Eudorina,NA,ambiguous_partial,FALSE,NA,NA
Gnorimosphaeroma oregonensis,wqbench,11,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Gnorimosphaeroma oregonense,260464,NA,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,marine,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,TRUE,worms_full,FALSE,NA,NA
Haliotis diversicolor,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Haliotis diversicolor,445319,NA,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,marine,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,Haliotis,TRUE,worms_full,FALSE,NA,NA
Halophila stipulacea,wqbench,11,FALSE,FALSE,wqbench,genus,exact_filtered,Halophila stipulacea,145714,NA,Species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Halophila,marine,Plantae,Magnoliophyta,Liliopsida,Hydrocharitales,Hydrocharitaceae,Halophila,FALSE,worms_full,FALSE,NA,NA
Hydropsyche exocellata,"envirotox,wqbench",11,FALSE,FALSE,wqbench,none,gbif_resolved,Hydropsyche exocellata,NA,5054024,SPECIES,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,NA,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,TRUE,gbif_full,FALSE,NA,NA
Hydropsyche sp,"anztox,envirotox",11,TRUE,FALSE,envirotox,genus_only,genus_resolved,Hydropsyche sp,593194,NA,Genus,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,freshwater|terrestrial,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,NA,TRUE,worms_full,FALSE,NA,NA
Lecane inermis,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Lecane inermis,419297,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Lecanidae,Lecane,marine|brackish|freshwater,Animalia,Rotifera,Monogononta,Ploima,Lecanidae,Lecane,TRUE,worms_full,FALSE,NA,NA
Leptolyngbya boryana,"anztox,wqbench",11,FALSE,FALSE,wqbench,class,exact_filtered,Leptolyngbya boryana,611375,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,freshwater|terrestrial,Monera,Cyanophycota,Cyanophyceae,Nostocales,Oscillatoriaceae,Leptolyngbya,FALSE,worms_full,FALSE,NA,NA
Leuciscus leuciscus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Leuciscus leuciscus,154599,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Leuciscus,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,TRUE,worms_full,FALSE,NA,NA
Lithobates berlandieri,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Lithobates berlandieri,1459650,NA,Species,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,freshwater|terrestrial,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,TRUE,worms_full,FALSE,NA,NA
Lithognathus mormyrus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Lithognathus mormyrus,127055,NA,Species,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Lithognathus,marine|brackish,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Lithognathus,TRUE,worms_full,FALSE,NA,NA
Margaritifera falcata,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Margaritifera falcata,857186,NA,Species,Animalia,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,freshwater,Animalia,Mollusca,Bivalvia,Unionoida,Margaritiferidae,Margaritifera,TRUE,worms_full,FALSE,NA,NA
Monoraphidium dybowskii,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Monoraphidium dybowskii,622807,NA,Species,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Monoraphidium,freshwater,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Monoraphidium,TRUE,worms_full,FALSE,NA,NA
Mylopharyngodon piceus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Mylopharyngodon piceus,594789,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Mylopharyngodon,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharyngodon,TRUE,worms_full,FALSE,NA,NA
Mytilus californianus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,class,exact_filtered,Mytilus californianus,367837,NA,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,marine,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,TRUE,worms_full,FALSE,NA,NA
Navicula seminulum var hustedtii,envirotox,11,FALSE,TRUE,envirotox,none,gbif_resolved,Navicula seminulum hustedtii,NA,7532386,VARIETY,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,NA,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,NA,FALSE,gbif_full,FALSE,NA,NA
Neocaridina heteropoda,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Neocaridina davidi,395480,NA,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Atyidae,Neocaridina,freshwater,Animalia,Arthropoda,Malacostraca,Decapoda,Atyidae,Neocaridina,TRUE,worms_full,FALSE,NA,NA
Neotrypaea californiensis,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Neotrypaea californiensis,465347,NA,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,marine,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,TRUE,worms_full,FALSE,NA,NA
Nostoc minutum,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Nostoc minutum,609471,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,terrestrial,Monera,Cyanophycota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,FALSE,worms_full,FALSE,NA,NA
Oikomonas termo,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Oikomonas termo,653526,NA,Species,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinaceae,Oikomonas,freshwater,Chromista,Chrysophyta,Chrysophyceae,Chromalinales,Chromulinaceae,Oikomonas,FALSE,worms_full,FALSE,NA,NA
Peltodytes sp,envirotox,11,TRUE,FALSE,envirotox,none,gbif_resolved,Peltodytes,NA,1044457,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Haliplidae,Peltodytes,NA,Animalia,Arthropoda,Insecta,Coleoptera,Haliplidae,NA,TRUE,gbif_full,FALSE,NA,NA
Peprilus triacanthus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Peprilus triacanthus,159828,NA,Species,Animalia,Chordata,Teleostei,Scombriformes,Stromateidae,Peprilus,marine|brackish,Animalia,Chordata,Actinopterygii,Perciformes,Stromateidae,Peprilus,TRUE,worms_full,FALSE,NA,NA
Phormidium fragile,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Leptolyngbya fragilis,178483,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Phormidium,marine|brackish|freshwater|terrestrial,Monera,Cyanophycota,Cyanophyceae,Nostocales,Oscillatoriaceae,Phormidium,FALSE,worms_full,FALSE,NA,NA
Phormidium inundatum,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Phormidium inundatum,609509,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Phormidium,freshwater|terrestrial,Monera,Cyanophycota,Cyanophyceae,Nostocales,Oscillatoriaceae,Phormidium,FALSE,worms_full,FALSE,NA,NA
Plagiognathops microlepis,"envirotox,wqbench",11,FALSE,FALSE,wqbench,phylum,exact_filtered,Plagiognathops microlepis,1020573,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Plagiognathops,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Plagiognathops,TRUE,worms_full,FALSE,NA,NA
Puntigrus tetrazona,wqbench,11,FALSE,FALSE,wqbench,phylum,exact_filtered,Puntigrus tetrazona,991304,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Puntigrus,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntigrus,TRUE,worms_full,FALSE,NA,NA
Radix plicatula,"envirotox,wqbench",11,FALSE,FALSE,wqbench,class,exact_filtered,Radix plicatula,1073631,NA,Species,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Radix,freshwater,Animalia,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Radix,TRUE,worms_full,FALSE,NA,NA
Rana luteiventris,wqbench,11,FALSE,FALSE,wqbench,none,gbif_resolved,Rana luteiventris,NA,2426785,SPECIES,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,NA,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,TRUE,gbif_full,FALSE,NA,NA
Rhinichthys osculus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Rhinichthys osculus,592846,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rhinichthys,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,TRUE,worms_full,FALSE,NA,NA
Scrippsiella trochoidea,wqbench,11,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Scrippsiella acuminata,110172,NA,Species,Chromista,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,marine,Chromista,Pyrrophycophyta,Dinophyceae,Gonyaulacales,Calciodinellaceae,Scrippsiella,FALSE,worms_full,FALSE,NA,NA
Simocephalus mixtus,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Simocephalus mixtus,1302926,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Simocephalus,freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Simocephalus,TRUE,worms_full,FALSE,NA,NA
Stagnicola elodes,"envirotox,wqbench",11,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Ladislavella elodes,1064195,NA,Species,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Stagnicola,freshwater,Animalia,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Stagnicola,TRUE,worms_full,FALSE,NA,NA
Staurodesmus convergens,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Staurodesmus convergens,578453,NA,Species,Plantae,Charophyta,Zygnematophyceae,Desmidiales,Desmidiaceae,Staurodesmus,freshwater,Plantae,Charophyta,Conjugatophyceae,Desmidiales,Desmidiaceae,Staurodesmus,TRUE,worms_full,FALSE,NA,NA
Stigeoclonium sp.,wqbench,11,TRUE,FALSE,wqbench,genus_only,genus_resolved,Stigeoclonium sp.,162717,NA,Genus,Plantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Stigeoclonium,freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Stigeoclonium,TRUE,worms_full,FALSE,NA,NA
Stylodrilus heringianus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,class,exact_filtered,Stylodrilus heringianus,1040258,NA,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Stylodrilus,freshwater,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Stylodrilus,TRUE,worms_full,FALSE,NA,NA
Synedra acus,"envirotox,wqbench",11,FALSE,FALSE,wqbench,none,ambiguous_after_filter,NA,NA,NA,NA,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra,NA,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra,NA,ambiguous_partial,FALSE,NA,NA
Tegillarca granosa,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Tegillarca granosa,504471,NA,Species,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Tegillarca,marine|brackish,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Tegillarca,TRUE,worms_full,FALSE,NA,NA
Tetraselmis cordiformis,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Tetraselmis cordiformis,248171,NA,Species,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,marine|freshwater,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,TRUE,worms_full,FALSE,NA,NA
Thermocyclops oblongatus,wqbench,11,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Thermocyclops oblongatus,361668,NA,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Thermocyclops,freshwater,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Thermocyclops,TRUE,worms_full,FALSE,NA,NA
Ulothrix sp.,wqbench,11,TRUE,FALSE,wqbench,genus_only,genus_resolved,Ulothrix sp.,144287,NA,Genus,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,marine|freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,TRUE,worms_full,FALSE,NA,NA
Villosa villosa,wqbench,11,FALSE,FALSE,wqbench,class,exact_filtered,Villosa villosa,857430,NA,Species,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Villosa,freshwater,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Villosa,TRUE,worms_full,FALSE,NA,NA
Wolffia arrhiza,wqbench,11,FALSE,FALSE,wqbench,none,gbif_resolved,Wolffia arrhiza,NA,5330092,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Wolffia,NA,Plantae,Magnoliophyta,Liliopsida,Arales,Lemnaceae,Wolffia,FALSE,gbif_full,FALSE,NA,NA
Achnanthes minutissima,wqbench,10,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Achnanthes minutissima,163582,NA,Species,Chromista,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,freshwater|terrestrial,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,FALSE,worms_full,FALSE,NA,NA
Achnanthidium sp.,wqbench,10,TRUE,FALSE,wqbench,genus_only,genus_resolved,Achnanthidium sp.,163531,NA,Genus,Chromista,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,marine|freshwater|terrestrial,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,FALSE,worms_full,FALSE,NA,NA
Acroneuria abnormis,wqbench,10,FALSE,FALSE,wqbench,none,gbif_resolved,Acroneuria abnormis,NA,2005130,SPECIES,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,NA,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,TRUE,gbif_full,FALSE,NA,NA
Acroneuria lycorias,"envirotox,wqbench",10,FALSE,FALSE,wqbench,none,gbif_resolved,Acroneuria lycorias,NA,2005111,SPECIES,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,NA,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,TRUE,gbif_full,FALSE,NA,NA
Alonella sp.,wqbench,10,TRUE,FALSE,wqbench,genus_only,genus_resolved,Alonella sp.,1298099,NA,Genus,Animalia,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alonella,freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Alonella,TRUE,worms_full,FALSE,NA,NA
Alosa sapidissima,"envirotox,wqbench",10,FALSE,FALSE,wqbench,phylum,exact_filtered,Alosa sapidissima,158670,NA,Species,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,TRUE,worms_full,FALSE,NA,NA
Amphora sp.,wqbench,10,TRUE,FALSE,wqbench,genus_only,genus_resolved,Amphora sp.,149200,NA,Genus,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,marine|brackish|freshwater,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,FALSE,worms_full,FALSE,NA,NA
Anabaena catenula,"anztox,wqbench",10,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Anabaena catenula,177631,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,Anabaena,freshwater|terrestrial,Monera,Cyanophycota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,FALSE,worms_full,FALSE,NA,NA
Anax imperator,wqbench,10,FALSE,FALSE,wqbench,none,gbif_resolved,Anax imperator,NA,5051775,SPECIES,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,NA,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,TRUE,gbif_full,FALSE,NA,NA
Bellamya dissimilis,"envirotox,wqbench",10,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Idiopoma dissimilis,1499868,NA,Species,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Bellamya,freshwater,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Bellamya,TRUE,worms_full,FALSE,NA,NA
Belostoma flumineum,wqbench,10,FALSE,FALSE,wqbench,none,gbif_resolved,Belostoma flumineum,NA,2007574,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Belostomatidae,Belostoma,NA,Animalia,Arthropoda,Insecta,Heteroptera,Belostomatidae,Belostoma,TRUE,gbif_full,FALSE,NA,NA
Boleophthalmus boddarti,wqbench,10,FALSE,FALSE,wqbench,phylum,exact_filtered,Boleophthalmus boddarti,279924,NA,Species,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Boleophthalmus,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,TRUE,worms_full,FALSE,NA,NA
Cabomba aquatica,wqbench,10,FALSE,FALSE,wqbench,class,exact_filtered,Cabomba aquatica,1600216,NA,Species,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Cabombaceae,Cabomba,freshwater,Plantae,Magnoliophyta,Magnoliopsida,Nymphaeales,Cabombaceae,Cabomba,FALSE,worms_full,FALSE,NA,NA
Caenis luctuosa,"envirotox,wqbench",10,FALSE,FALSE,wqbench,none,gbif_resolved,Caenis luctuosa,NA,5757622,SPECIES,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,TRUE,gbif_full,FALSE,NA,NA
Callianassa australiensis,anztox,10,FALSE,FALSE,anztox,genus,exact_unaccepted_filtered,Trypaea australiensis,465343,NA,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,marine,NA,NA,NA,NA,NA,NA,NA,worms_full,FALSE,NA,NA
