accepted_name,n_raw_names_in_group,raw_name,sources,n_rows,status,rank_resolved
Danio rerio,2,Danio rerio,"anztox,envirotox,wqbench",23966,exact_filtered,Species
Danio rerio,2,Brachydanio rerio,anztox,161,exact_unaccepted_filtered,Species
Daphnia galeata mendotae,2,Daphnia galeata ssp. mendotae,wqbench,20,gbif_resolved,SUBSPECIES
Daphnia galeata mendotae,2,Daphnia galeata mendotae,anztox,3,gbif_resolved,SUBSPECIES
Daphnia obtusa,2,Daphnia obtusa,"envirotox,wqbench",116,exact_filtered,Species
Daphnia obtusa,2,Daphnia obtysa,anztox,3,gbif_resolved,SPECIES
Deleatidium,2,Deleatidium sp.,wqbench,100,gbif_resolved,GENUS
Deleatidium,2,Deleatidium sp,"anztox,envirotox",8,gbif_resolved,GENUS
Desmodesmus abundans,2,Chlorella fusca,"anztox,envirotox,wqbench",63,exact_unaccepted_filtered,Species
Desmodesmus abundans,2,Scenedesmus abundans,"envirotox,wqbench",47,exact_unaccepted_filtered,Species
Desmodesmus armatus,2,Scenedesmus armatus,wqbench,75,exact_unaccepted_filtered,Species
Desmodesmus armatus,2,Desmodesmus armatus,wqbench,8,exact_filtered,Species
Desmodesmus subspicatus,2,Desmodesmus subspicatus,"anztox,envirotox,wqbench",1559,exact_filtered,Species
Desmodesmus subspicatus,2,Scenedesmus subspicatus,anztox,79,exact_unaccepted_filtered,Species
Diacronema lutheri,2,Pavlova lutheri,"envirotox,wqbench",18,exact_unaccepted_filtered,Species
Diacronema lutheri,2,Monochrysis lutheri,"anztox,envirotox",6,exact_unaccepted_filtered,Species
Diacyclops bicuspidatus bicuspidatus,2,Cyclops bicuspidatus,wqbench,4,exact_unaccepted_filtered,Species
Diacyclops bicuspidatus bicuspidatus,2,Diacyclops bicuspidatus,wqbench,2,exact_unaccepted_filtered,Species
Dolichospermum flos-aquae,2,Anabaena flosaquae,"anztox,wqbench",607,fuzzy_filtered,Species
Dolichospermum flos-aquae,2,Anabaena flos-aquae,"anztox,envirotox",330,exact_unaccepted_filtered,Species
Dugesia gonocephala,2,Dugesia gonocephala,"anztox,envirotox,wqbench",17,exact_filtered,Species
Dugesia gonocephala,2,Planaria gonocephala,wqbench,5,exact_unaccepted_filtered,Species
Dunaliella viridis,2,Dunaliella viridis,wqbench,11,exact_filtered,Species
Dunaliella viridis,2,Dunaliella euchlora,anztox,1,exact_unaccepted_filtered,Species
Duttaphrynus melanostictus,2,Duttaphrynus melanostictus,wqbench,113,exact_filtered,Species
Duttaphrynus melanostictus,2,Bufo melanostictus,envirotox,8,exact_unaccepted_filtered,Species
Elasmopus pectenicrus,2,Elasmopus pectenicrus,wqbench,12,exact_filtered,Species
Elasmopus pectenicrus,2,Elasmopus pectinicrus,"anztox,envirotox",5,gbif_resolved,SPECIES
Elimia livescens,2,Elimia livescens,"envirotox,wqbench",34,exact_filtered,Species
Elimia livescens,2,Goniobasis livescens,anztox,3,exact_unaccepted_filtered,Species
Elliptio jayensis,2,Elliptio buckleyi,"envirotox,wqbench",3,exact_unaccepted_filtered,Species
Elliptio jayensis,2,Popenaias buckleyi,wqbench,3,exact_unaccepted_filtered,Species
Entomoneis punctulata,2,Entomoneis punctulata,"anztox,wqbench",19,exact_unaccepted_filtered,Species
Entomoneis punctulata,2,Entomoneis cf punctulata,envirotox,2,gbif_resolved,SPECIES
Eudiaptomus gracilis gracilis,2,Diaptomus gracilis,"envirotox,wqbench",21,exact_unaccepted_filtered,Species
Eudiaptomus gracilis gracilis,2,Eudiaptomus gracilis,"anztox,envirotox,wqbench",15,exact_unaccepted_filtered,Species
Eudiaptomus padanus padanus,2,Eudiaptomus padanus ssp. padanus,wqbench,13,gbif_resolved,SUBSPECIES
Eudiaptomus padanus padanus,2,Eudiaptomus padanus padanus,anztox,1,exact_filtered,Subspecies
Euphlyctis cyanophlyctis,2,Rana cyanophlyctis,"envirotox,wqbench",99,exact_unaccepted_filtered,Species
Euphlyctis cyanophlyctis,2,Euphlyctis cyanophlyctis,wqbench,37,exact_filtered,Species
Euphlyctis hexadactylus,2,Euphlyctis hexadactylus,wqbench,113,exact_filtered,Species
Euphlyctis hexadactylus,2,Rana hexadactyla,"anztox,envirotox",27,exact_unaccepted_filtered,Species
Eusimulium,2,Eusimulium sp,"anztox,envirotox",2,gbif_resolved,GENUS
Eusimulium,2,Eusimulium sp.,wqbench,1,gbif_resolved,GENUS
Exaiptasia diaphana,2,Aiptasia pulchella,wqbench,42,exact_unaccepted_filtered,Species
Exaiptasia diaphana,2,Aiptasia pallida,wqbench,38,exact_unaccepted_filtered,Species
Fejervarya limnocharis,2,Rana limnocharis,"anztox,envirotox,wqbench",166,exact_unaccepted_filtered,Species
Fejervarya limnocharis,2,Fejervarya limnocharis,wqbench,13,exact_filtered,Species
Filopaludina bengalensis,2,Viviparus bengalensis,"anztox,envirotox,wqbench",231,exact_unaccepted_filtered,Species
Filopaludina bengalensis,2,Bellamya bengalensis,"envirotox,wqbench",31,exact_unaccepted_filtered,Species
Fluminicola virens,2,Lithoglyphus virens,wqbench,7,exact_unaccepted_filtered,Species
Fluminicola virens,2,Fluminicola virens,anztox,1,exact_filtered,Species
Garra gotyla gotyla,2,Garra gotyla ssp gotyla,envirotox,3,gbif_resolved,SUBSPECIES
Garra gotyla gotyla,2,Garra gotyla ssp. gotyla,wqbench,3,gbif_resolved,SUBSPECIES
Gephyrocapsa huxleyi,2,Coccolithus huxleyi,wqbench,14,exact_unaccepted_filtered,Species
Gephyrocapsa huxleyi,2,Emiliania huxleyi,anztox,2,exact_unaccepted_filtered,Species
Girardia tigrina,2,Girardia tigrina,wqbench,246,exact_filtered,Species
Girardia tigrina,2,Dugesia tigrina,"anztox,envirotox",46,exact_unaccepted_filtered,Species
Hediste diversicolor,2,Nereis diversicolor,"anztox,envirotox,wqbench",92,exact_unaccepted_filtered,Species
Hediste diversicolor,2,Hediste diversicolor,"envirotox,wqbench",72,exact_filtered,Species
Helicopsyche,2,Helicopsyche sp.,wqbench,10,gbif_resolved,GENUS
Helicopsyche,2,Helicopsyche sp,envirotox,1,gbif_resolved,GENUS
Heliodiaptomus viduus,2,Heliodiaptomus viduus,wqbench,13,exact_filtered,Species
Heliodiaptomus viduus,2,Neodiaptomus kamakhiae,envirotox,1,exact_unaccepted_filtered,Species
Heteropneustes fossilis,2,Heteropneustes fossilis,"anztox,envirotox,wqbench",1707,exact_filtered,Species
Heteropneustes fossilis,2,Saccobranchus fossilis,anztox,21,exact_unaccepted_filtered,Species
Hexaplex trunculus,2,Murex trunculus,wqbench,4,exact_unaccepted_filtered,Species
Hexaplex trunculus,2,Hexaplex trunculus,wqbench,2,exact_filtered,Species
Holmesimysis costata,2,Holmesimysis costata,wqbench,155,exact_filtered,Species
Holmesimysis costata,2,Acanthomysis costata,"anztox,envirotox",21,exact_unaccepted_filtered,Species
Homarus gammarus,2,Homarus gammarus,"envirotox,wqbench",16,exact_filtered,Species
Homarus gammarus,2,Homarus vulgaris,"anztox,wqbench",4,exact_unaccepted_filtered,Species
Hydra viridissima,2,Hydra viridissima,"anztox,envirotox,wqbench",193,exact_filtered,Species
Hydra viridissima,2,Chlorohydra viridissima,"envirotox,wqbench",10,exact_unaccepted_filtered,Species
Hydropsyche pellucidula,2,Hydropsyche pellucidula,wqbench,17,gbif_resolved,SPECIES
Hydropsyche pellucidula,2,Hydropsyche pellucidulla,envirotox,1,gbif_resolved,SPECIES
