casnumber_grouped,accepted_name,medium,min_tier_rank,max_tier_rank,n_distinct_tiers
88733,Desmodesmus subspicatus,Freshwater,1,3,3
88857,Daphnia magna,Unknown,1,3,2
88891,Daphnia magna,Freshwater,1,3,2
88891,Daphnia magna,Unknown,1,3,2
88891,Raphidocelis subcapitata,Unknown,1,3,2
88891,Ulva fasciata,Unknown,1,3,2
89598,Daphnia magna,Unknown,1,3,2
89601,Daphnia magna,Unknown,1,3,2
89601,Desmodesmus subspicatus,Freshwater,1,3,3
89612,Auxenochlorella pyrenoidosa,Freshwater,2,3,2
89725,Daphnia magna,Unknown,1,3,2
89838,Daphnia magna,Unknown,1,3,2
90028,Daphnia magna,Freshwater,1,3,2
90028,Daphnia magna,Unknown,1,3,2
90040,Daphnia magna,Unknown,1,3,2
90051,Daphnia magna,Unknown,1,3,2
90120,Daphnia magna,Unknown,1,3,2
90131,Daphnia magna,Unknown,1,3,2
90302,Lampsilis siliquoidea,Freshwater,1,3,3
90437,Pimephales promelas,Freshwater,1,3,3
91203,Oncorhynchus kisutch,Marine,1,3,2
91203,Oreochromis mossambicus,Freshwater,1,3,2
91203,Raphidocelis subcapitata,Freshwater,1,3,3
91203,Scylla serrata,Marine,1,3,3
91225,Daphnia magna,Freshwater,1,3,2
91225,Daphnia magna,Unknown,1,3,2
91236,Daphnia magna,Unknown,1,3,2
91236,Desmodesmus subspicatus,Freshwater,1,3,3
91532,Daphnia magna,Unknown,1,3,2
91576,Daphnia magna,Unknown,1,3,2
91941,Daphnia magna,Unknown,1,3,2
92886,Daphnia magna,Unknown,1,3,2
93652,Magallana gigas,Marine,1,3,3
93721,Dunaliella tertiolecta,Marine,2,3,2
93721,Isochrysis galbana,Marine,2,3,2
93721,Phaeodactylum tricornutum,Marine,2,3,2
93765,Brachionus angularis,Freshwater,2,3,2
93765,Ceriodaphnia dubia,Freshwater,2,3,2
93765,Dunaliella tertiolecta,Marine,2,3,2
93765,Isochrysis galbana,Marine,2,3,2
93765,Phaeodactylum tricornutum,Marine,2,3,2
94746,Crassostrea virginica,Marine,2,3,2
94746,Crassostrea virginica,Unknown,1,3,2
94746,Daphnia magna,Freshwater,2,3,2
