scientificname,sources,n_rows,status,source_kingdom,source_phylum,resolved_kingdom,resolved_phylum,taxonomy_source
Chaetoceros muelleri,wqbench,10,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Chattonella marina,wqbench,10,exact_filtered,Chromista,Pyrrophycophyta,Chromista,Ochrophyta,wqbench
Chilodonella uncinata,"envirotox,wqbench",10,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Colpidium sp.,wqbench,10,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Cryptomonas pyrenoidifera,wqbench,10,exact_filtered,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Dexiotricha granulosa,"envirotox,wqbench",10,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Fragilaria crotonensis,wqbench,10,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Furcellaria lumbricalis,wqbench,10,exact_filtered,Plantae,Rhodophycota,Plantae,Rhodophyta,wqbench
Gracilariopsis longissima,wqbench,10,exact_filtered,Plantae,Rhodophycota,Plantae,Rhodophyta,wqbench
Laminaria digitata,wqbench,10,exact_filtered,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Lingulodinium polyedrum,wqbench,10,fuzzy_filtered,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Nannochloropsis gaditana,"envirotox,wqbench",10,exact_unaccepted_filtered,Chromista,Ochrophyta,Chromista,Ochrophyta,wqbench
Opercularia sp.,wqbench,10,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Oscillatoria chalybea,wqbench,10,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Pontederia cordata,"anztox,wqbench",10,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Thalassodendron ciliatum,wqbench,10,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Zostera nigricaulis,wqbench,10,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Colpoda inflata,wqbench,9,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Cyclotella gamma,wqbench,9,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Euplotes aediculatus,"envirotox,wqbench",9,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Fragilaria capucina var. vaucheriae,wqbench,9,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Navicula forcipata,"anztox,wqbench",9,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Nitzschia sp,"anztox,envirotox",9,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,envirotox
Nostoc sp,envirotox,9,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,envirotox
Nymphaea tetragona,wqbench,9,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Pavlova sp,"anztox,envirotox",9,genus_resolved,Plantae,Chrysophyta,Chromista,Haptophyta,envirotox
Scytosiphon lomentaria,wqbench,9,exact_filtered,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Spirulina sp.,wqbench,9,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Staurastrum manfeldtii,"envirotox,wqbench",9,exact_filtered,Plantae,Charophyta,Plantae,Charophyta,wqbench
Trochilia minuta,"envirotox,wqbench",9,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Anabaena khannae,wqbench,8,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Anabaena torulosa,wqbench,8,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Aspidisca lynceus,"envirotox,wqbench",8,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Blepharisma americanum,"envirotox,wqbench",8,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Ceratocorys horrida,wqbench,8,exact_filtered,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Cyclidium sp.,wqbench,8,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Desmarestia menziesii,wqbench,8,exact_filtered,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Enhalus acoroides,wqbench,8,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Fistulifera saprophila,wqbench,8,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Fragilaria capucina var vaucheriae,anztox,8,gbif_resolved,Chromista,Bacillariophyta,Chromista,Ochrophyta,anztox
Microcystis novacekii,wqbench,8,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Myriophyllum verticillatum,wqbench,8,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Nitzschia obtusa var. nana,wqbench,8,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Opercularia coarctata,"envirotox,wqbench",8,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Opercularia minima,"envirotox,wqbench",8,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Prorocentrum sp.,wqbench,8,genus_resolved,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Pseudanabaena mucicola,"envirotox,wqbench",8,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Pyrocystis noctiluca,wqbench,8,exact_unaccepted_filtered,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Rhodomonas sp.,wqbench,8,genus_resolved,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Scytonema sp.,wqbench,8,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Thalassiosira sp.,wqbench,8,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Wolffia sp.,wqbench,8,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Acanthamoeba hatchetti,wqbench,7,exact_filtered,Animalia,Protozoa,Protozoa,Amoebozoa,wqbench
Aphanocapsa sp.,wqbench,7,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Asterionella formosa,wqbench,7,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Azolla microphylla,wqbench,7,gbif_resolved,Plantae,Polypodiophyta,Plantae,Tracheophyta,wqbench
Ceramium tenuicorne,"anztox,wqbench",7,exact_filtered,Plantae,Rhodophycota,Plantae,Rhodophyta,wqbench
Ceratium hirundinella,wqbench,7,exact_filtered,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Chilomonas paramecium,"anztox,envirotox,wqbench",7,gbif_resolved,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Dictyota kunthii,wqbench,7,exact_filtered,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Heteranthera dubia,wqbench,7,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Iris pseudacorus,wqbench,7,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Lemna disperma,wqbench,7,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Lophopodella carteri,"envirotox,wqbench",7,exact_filtered,Animalia,Bryozoa,Animalia,Bryozoa,wqbench
Oscillatoria sp,envirotox,7,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,envirotox
Oscillatoria tenuis,wqbench,7,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Pectinatella magnifica,"envirotox,wqbench",7,exact_filtered,Animalia,Bryozoa,Animalia,Bryozoa,wqbench
Plumatella casmiana,"envirotox,wqbench",7,exact_filtered,Animalia,Bryozoa,Animalia,Bryozoa,wqbench
Staurastrum chaetoceras,"envirotox,wqbench",7,exact_filtered,Plantae,Charophyta,Plantae,Charophyta,wqbench
Vorticella sp.,wqbench,7,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Amphora exigua,"anztox,wqbench",6,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Anabaena affinis,wqbench,6,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Aphanizomenon sp.,wqbench,6,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Calothrix parietina,wqbench,6,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Ceratophyllum submersum,"anztox,wqbench",6,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Chroomonas acuta,wqbench,6,exact_unaccepted_filtered,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Colpidium colpoda,wqbench,6,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Cryptomonas ovata,wqbench,6,exact_filtered,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Drepanomonas revoluta,wqbench,6,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Enterocytozoon hepatopenaei,wqbench,6,exact_filtered,Animalia,Protozoa,Fungi,Microsporidia,wqbench
Euglena sp.,wqbench,6,genus_resolved,Plantae,Euglenophycota,Protozoa,Euglenozoa,wqbench
Fragilaria pinnata,wqbench,6,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Fragilaria rumpens,anztox,6,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,anztox
Leptolyngbya sp,envirotox,6,genus_resolved,Eubacteria,Cyanobacteria,Bacteria,Cyanobacteria,envirotox
Microcoleus vaginatus,"anztox,wqbench",6,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Monochrysis lutheri,"anztox,envirotox",6,exact_unaccepted_filtered,Plantae,Chrysophyta,Chromista,Ochrophyta,envirotox
Pinnularia sp.,wqbench,6,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Planktolyngbya limnetica,wqbench,6,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Planktothrix sp.,wqbench,6,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Planothidium hauckianum,wqbench,6,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Porphyra yezoensis,envirotox,6,exact_unaccepted_filtered,Plantae,Rhodophycota,Plantae,Rhodophyta,envirotox
Poterioochromonas sp.,wqbench,6,genus_resolved,Chromista,Chrysophyta,Chromista,Ochrophyta,wqbench
Staurastrum sp,"anztox,envirotox",6,genus_resolved,Plantae,Chlorophyta,Plantae,Charophyta,envirotox
Synechocystis sp,envirotox,6,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,envirotox
Tabularia fasciculata,wqbench,6,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Taenionema sp.,wqbench,6,genus_resolved,Animalia,Arthropoda,Animalia,Chordata,wqbench
Thalassia testudinum,"anztox,wqbench",6,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Achnanthes sp.,wqbench,5,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Acineria uncinata,"envirotox,wqbench",5,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Alaria sp.,wqbench,5,genus_resolved,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Anabaena circinalis,"envirotox,wqbench",5,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Euplotes mutabilis,wqbench,5,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Euplotes sp,envirotox,5,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,envirotox
Euplotes vannus,wqbench,5,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Gymnodinium breve,envirotox,5,exact_unaccepted_filtered,Plantae,Pyrrophycophyta,Chromista,Myzozoa,envirotox
Halteria grandinella,wqbench,5,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Hydrilla sp.,wqbench,5,genus_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Laminaria hyperborea,wqbench,5,exact_filtered,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Micromonas pusilla,"envirotox,wqbench",5,exact_filtered,Plantae,Prasinophyta,Plantae,Chlorophyta,wqbench
Navicula sp,"anztox,envirotox",5,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,envirotox
Nostoc sphaeroides,wqbench,5,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Oophila sp,envirotox,5,genus_resolved,Eubacteria,Cyanobacteria,Plantae,Chlorophyta,envirotox
Oscillatoria laetevirens,envirotox,5,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,envirotox
Phormidium tenue,wqbench,5,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Platymonas viridis,wqbench,5,exact_unaccepted_filtered,Plantae,Prasinophyta,Plantae,Chlorophyta,wqbench
Triceratium sp.,wqbench,5,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Ulnaria sp.,wqbench,5,gbif_resolved,Chromista,Bacillariophyta,Chromista,Ochrophyta,wqbench
Uronema marinum,"envirotox,wqbench",5,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Amyloodinium ocellatum,wqbench,4,exact_filtered,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Anacystis alpicola,"envirotox,wqbench",4,gbif_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Biddulphia sp.,wqbench,4,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Calothrix sp.,wqbench,4,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Cochliopodium bilimbosum,wqbench,4,gbif_resolved,Animalia,Protozoa,Protozoa,Amoebozoa,wqbench
Coscinodiscus sp.,wqbench,4,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Echinochloa oryzicola,wqbench,4,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Epithemia adnata,wqbench,4,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Epithemia sp.,wqbench,4,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
