casnumber_grouped,accepted_name,source,statistic_type,stat_tier,test_class,conc_ug_L
95761,Oncorhynchus mykiss,wqbench,EC25,undefined_x_needs_ruling,chronic,390
1912249,Raphidocelis subcapitata,wqbench,EC25,undefined_x_needs_ruling,chronic,33.22
7440508,Notropis mekistocholas,wqbench,IC25,undefined_x_needs_ruling,chronic,34000
79572,Egeria densa,wqbench,EC25,undefined_x_needs_ruling,chronic,140.2
165252700,Chironomus dilutus,wqbench,EC25,undefined_x_needs_ruling,chronic,7.31
7440508,Champia parvula,wqbench,IC25,undefined_x_needs_ruling,chronic,2.83
9012764,Tubifex tubifex,wqbench,LC25,undefined_x_needs_ruling,chronic,662000
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,1060000
7440439,Girardia dorotocephala,wqbench,LC25,undefined_x_needs_ruling,chronic,1500
79118,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,6900
5285609,Lampsilis siliquoidea,wqbench,EC25,undefined_x_needs_ruling,chronic,2
210880925,Chironomus dilutus,wqbench,EC25,undefined_x_needs_ruling,chronic,0.92
138261413,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,2.0799999999999996
57636,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,2300
115866,Oncorhynchus mykiss,wqbench,LC31,undefined_x_needs_ruling,chronic,320
7440508,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,930
10102451,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,189
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,125
7440508,Cyprinella monacha,wqbench,IC25,undefined_x_needs_ruling,chronic,65000
79118,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,7600
14797558,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,60
31430156,Daphnia magna,wqbench,IC25,undefined_x_needs_ruling,chronic,11.209999999999999
90302,Lampsilis siliquoidea,wqbench,LC25,undefined_x_needs_ruling,chronic,9
