source,scientificname,kingdom,phylum,subphylum,superclass,class,order_taxon,family,genus,common_name,source_majorgroup,source_minorgroup,source_trophic,source_ecological,source_animaltype,source_animalcategory,isheterotroph,ncbi_taxid
anztox,Callianassa australiensis,NA,NA,NA,NA,NA,NA,NA,NA,Shrimp,Crustacea,Decapoda,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,NA,Blue crab,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Cambarus diogenes,NA,NA,NA,NA,NA,NA,NA,NA,Crayfish,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Cancer anthonyi,NA,NA,NA,NA,NA,NA,NA,NA,Yellow rock crab,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Cancer magister,NA,NA,NA,NA,NA,NA,NA,NA,Dungeness or edible crab,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Canthocamptus sp,NA,NA,NA,NA,NA,NA,NA,NA,Harpacticoid copepod,CR,COPE,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Capitella capitata,NA,NA,NA,NA,NA,NA,NA,NA,Polychaete,AN,POLY,NA,NA,Invertebrate,Annelids,NA,NA
anztox,Carassius auratus,NA,NA,NA,NA,NA,NA,NA,NA,Goldfish,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Carassius carassius,NA,NA,NA,NA,NA,NA,NA,NA,Crucian carp,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Carassius sp,NA,NA,NA,NA,NA,NA,NA,NA,Carp,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Carcinus maenas,NA,NA,NA,NA,NA,NA,NA,NA,Shore or green crab,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Cardium edule,NA,NA,NA,NA,NA,NA,NA,NA,Cockle,ML,PELE,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Caridinides sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Catla catla,NA,NA,NA,NA,NA,NA,NA,NA,Catla,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Catostomus commersoni,NA,NA,NA,NA,NA,NA,NA,NA,White sucker,OS,CATO,NA,NA,Fish,Fish,NA,NA
anztox,Centrarchidae,NA,NA,NA,NA,NA,NA,NA,NA,Sunfish family,OS,CENT,NA,NA,Fish,Fish,NA,NA
anztox,Centropristis striata,NA,NA,NA,NA,NA,NA,NA,NA,Black sea bass,OS,SERR,NA,NA,Fish,Fish,NA,NA
anztox,Ceramium tenuicorne,Plantae,Rhodophyta,NA,NA,Florideophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macroalgae,FALSE,NA
anztox,Ceratoneis closterium,Chromista,Bacillariophyta,NA,NA,Fragilariophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Ceratophyllum demersum,NA,NA,NA,NA,NA,NA,NA,NA,Coon-tail,Magnoliophyta,Ceratophyllaceae,NA,NA,Plant,Macrophytes,NA,NA
anztox,Ceratophyllum submersum,NA,NA,NA,NA,NA,NA,NA,NA,Coon-tail,NA,NA,NA,NA,NA,NA,NA,NA
