raw_species,n_rows,sources,example_cas,worms_status,gbif_status,resolved_by,accepted_name,rank,kingdom,phylum,class,order,family,genus,habitat
Daphnia carinata,427,"anztox,envirotox,wqbench",108952,exact_unaccepted,NA,worms,Daphnia (Ctenodaphnia) carinata,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,freshwater
Lumbriculus variegatus,427,"anztox,envirotox,wqbench",108952,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalassiosira pseudonana,424,"anztox,envirotox,wqbench",2921882,exact_unaccepted,NA,worms,Thalassiosira pseudonana,Species,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,marine|freshwater
Carassius gibelio,420,wqbench,73989170,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipenser transmontanus,418,"envirotox,wqbench",7646857,exact,NA,worms,Acipenser transmontanus,Species,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,marine|brackish|freshwater
Gammarus lacustris,415,"anztox,envirotox,wqbench",309002,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemia sp.,410,wqbench,151213,no_match,gbif_fuzzy,gbif,Artemia,GENUS,Animalia,Arthropoda,Branchiopoda,Anostraca,Artemiidae,Artemia,NA
Hydra vulgaris,410,"envirotox,wqbench",22204531,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channa orientalis,396,"envirotox,wqbench",60515,exact,NA,worms,Channa orientalis,Species,Animalia,Chordata,Teleostei,Anabantiformes,Channidae,Channa,brackish|freshwater
Cnesterodon decemmaculatus,393,"envirotox,wqbench",1910425,exact,NA,worms,Cnesterodon decemmaculatus,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Cnesterodon,brackish|freshwater
Nitocra spinipes,390,"anztox,envirotox,wqbench",72559,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arbacia punctulata,389,"envirotox,wqbench",106934,exact,NA,worms,Arbacia punctulata,Species,Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,marine
Carcinus maenas,384,"anztox,envirotox,wqbench",1,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychocheilus lucius,380,"envirotox,wqbench",63252,exact,NA,worms,Ptychocheilus lucius,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Ptychocheilus,freshwater
Bufo bufo ssp. japonicus,376,wqbench,32861851,no_match,gbif_exact,gbif,Bufo bufo japonicus,SUBSPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,NA
Physella acuta,369,"envirotox,wqbench",53861,exact,NA,worms,Physella acuta,Species,Animalia,Mollusca,Gastropoda,NA,Physidae,Physella,freshwater
Biomphalaria glabrata,367,"envirotox,wqbench",7758987,exact,NA,worms,Biomphalaria glabrata,Species,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Biomphalaria,freshwater
Oncorhynchus gorbuscha,358,"anztox,envirotox,wqbench",91203,exact,NA,worms,Oncorhynchus gorbuscha,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,marine|brackish|freshwater
Chlamys farreri,350,wqbench,79947,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petromyzon marinus,350,"envirotox,wqbench",143500,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colisa fasciata,348,"anztox,envirotox,wqbench",108952,exact_unaccepted,NA,worms,Trichogaster fasciata,Species,Animalia,Chordata,Teleostei,Anabantiformes,Osphronemidae,Colisa,freshwater
Oncorhynchus nerka,348,"anztox,envirotox,wqbench",1071836,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mystus vittatus,340,"anztox,envirotox,wqbench",137268,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daphnia galeata,338,"envirotox,wqbench",7758987,exact,NA,worms,Daphnia galeata,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,freshwater
Notemigonus crysoleucas,334,"anztox,envirotox,wqbench",151508,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
